scene_id,sensor,acquisition_datetime,motivo_invalidez
LE72330832000075EDC00,L7,2000-03-15T14:26:14,enmascarado_por_qa(0/9_validos)
LE72320832000132EDC00,L7,2000-05-11T14:19:37,enmascarado_por_qa(0/9_validos)
LE72330832000139EDC00,L7,2000-05-18T14:25:45,enmascarado_por_qa(0/9_validos)
LE72320832000324EDC00,L7,2000-11-19T14:17:49,enmascarado_por_qa(0/9_validos)
LE72330832001157COA01,L7,2001-06-06T14:23:19,enmascarado_por_qa(0/9_validos)
LE72330832001221COA00,L7,2001-08-09T14:22:38,enmascarado_por_qa(0/9_validos)
LE72320832001230COA00,L7,2001-08-18T14:16:19,enmascarado_por_qa(0/9_validos)
LE72330832002016COA00,L7,2002-01-16T14:22:27,ndwi_negativo
LE72320832002233EDC00,L7,2002-08-21T14:15:36,enmascarado_por_qa(0/9_validos)
LE72330832003019AGS00,L7,2003-01-19T14:22:09,enmascarado_por_qa(0/9_validos)
LE72330832003051AGS00,L7,2003-02-20T14:22:20,enmascarado_por_qa(0/9_validos)
LE72320832003204ASN02,L7,2003-07-23T14:16:00,enmascarado_por_qa(2/9_validos)
LE72320832003236ASN01,L7,2003-08-24T14:15:52,enmascarado_por_qa(0/9_validos)
LE72330832003275EDC01,L7,2003-10-02T14:21:50,enmascarado_por_qa(0/9_validos)
LE72320832003300COA00,L7,2003-10-27T14:15:53,enmascarado_por_qa(0/9_validos)
LE72330832003307COA00,L7,2003-11-03T14:22:04,enmascarado_por_qa(0/9_validos)
LE72320832003348EDC02,L7,2003-12-14T14:16:16,enmascarado_por_qa(0/9_validos)
LE72330832003355ASN01,L7,2003-12-21T14:22:31,enmascarado_por_qa(0/9_validos)
LE72320832004047EDC03,L7,2004-02-16T14:16:36,enmascarado_por_qa(0/9_validos)
LE72320832004095EDC02,L7,2004-04-04T14:16:44,enmascarado_por_qa(0/9_validos)
LE72330832004150ASN01,L7,2004-05-29T14:22:49,enmascarado_por_qa(0/9_validos)
LE72330832004182EDC01,L7,2004-06-30T14:22:41,enmascarado_por_qa(0/9_validos)
LE72330832004230EDC02,L7,2004-08-17T14:22:28,enmascarado_por_qa(0/9_validos)
LE72320832004271EDC02,L7,2004-09-27T14:16:05,enmascarado_por_qa(0/9_validos)
LE72320832004287COA00,L7,2004-10-13T14:16:04,enmascarado_por_qa(0/9_validos)
LE72320832004303EDC00,L7,2004-10-29T14:16:19,enmascarado_por_qa(0/9_validos)
LE72330832005008EDC00,L7,2005-01-08T14:23:03,enmascarado_por_qa(0/9_validos)
LE72330832005024EDC00,L7,2005-01-24T14:23:03,enmascarado_por_qa(0/9_validos)
LE72320832005049EDC00,L7,2005-02-18T14:17:07,enmascarado_por_qa(0/9_validos)
LE72330832005056EDC00,L7,2005-02-25T14:23:20,enmascarado_por_qa(0/9_validos)
LE72320832005065EDC01,L7,2005-03-06T14:17:11,enmascarado_por_qa(0/9_validos)
LE72330832005072EDC00,L7,2005-03-13T14:23:22,enmascarado_por_qa(0/9_validos)
LE72330832005136EDC00,L7,2005-05-16T14:23:17,enmascarado_por_qa(0/9_validos)
LE72330832005152ASN00,L7,2005-06-01T14:23:13,enmascarado_por_qa(0/9_validos)
LE72320832005257EDC00,L7,2005-09-14T14:16:33,enmascarado_por_qa(0/9_validos)
LE72320832005273EDC00,L7,2005-09-30T14:16:33,enmascarado_por_qa(0/9_validos)
LE72330832005280ASN00,L7,2005-10-07T14:22:40,enmascarado_por_qa(0/9_validos)
LE72330832006075EDC00,L7,2006-03-16T14:23:46,enmascarado_por_qa(0/9_validos)
LE72330832006091EDC00,L7,2006-04-01T14:23:44,enmascarado_por_qa(0/9_validos)
LE72330832006123EDC00,L7,2006-05-03T14:23:43,enmascarado_por_qa(0/9_validos)
LE72320832006132COA00,L7,2006-05-12T14:17:33,ndwi_negativo
LE72320832006212ASN00,L7,2006-07-31T14:17:11,enmascarado_por_qa(0/9_validos)
LE72330832006283EDC00,L7,2006-10-10T14:23:04,enmascarado_por_qa(0/9_validos)
LE72320832006292EDC00,L7,2006-10-19T14:17:02,enmascarado_por_qa(0/9_validos)
LE72320832006308EDC00,L7,2006-11-04T14:17:17,enmascarado_por_qa(2/9_validos)
LE72320832007023EDC00,L7,2007-01-23T14:17:46,enmascarado_por_qa(0/9_validos)
LE72320832007103EDC01,L7,2007-04-13T14:18:00,enmascarado_por_qa(0/9_validos)
LE72330832007190EDC00,L7,2007-07-09T14:23:53,enmascarado_por_qa(0/9_validos)
LE72330832007206ASN00,L7,2007-07-25T14:23:49,enmascarado_por_qa(0/9_validos)
